Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 11-1 - Introduction to Financial Accounting (-)	Accounting	11	1	Open	24/25	Stacey Ritter	4	M W F | 8:00 AM - 9:05 AM	Rm 306 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-2 - Introduction to Financial Accounting (-)	Accounting	11	2	Closed	25/25	Stacey Ritter	4	M W F | 9:15 AM - 10:20 AM	Rm 306 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-3 - Introduction to Financial Accounting (-)	Accounting	11	3	Closed	25/25	Stacey Ritter	4	M W F | 10:30 AM - 11:35 AM	Rm 306 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-4 - Introduction to Financial Accounting (-)	Accounting	11	4	Open	18/25	Christine Lebar	4	T Th | 2:00 PM - 3:40 PM	Rm 102 Alameda hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-5 - Introduction to Financial Accounting (-)	Accounting	11	5	Open	13/25	Matthew Cedergren	4	M W F | 8:00 AM - 9:05 AM	Rm 208 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-6 - Introduction to Financial Accounting (-)	Accounting	11	6	Closed	25/25	Matthew Cedergren	4	M W F | 9:15 AM - 10:20 AM	Rm 208 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-7 - Introduction to Financial Accounting (-)	Accounting	11	7	Closed	25/25	Matthew Cedergren	4	M W F | 11:45 AM - 12:50 PM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-8 - Introduction to Financial Accounting (-)	Accounting	11	8	Closed	25/25	Don Rath	4	T Th | 12:10 PM - 1:50 PM	Rm 306 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-9 - Introduction to Financial Accounting (-)	Accounting	11	9	Open	22/25	Don Rath	4	T Th | 2:00 PM - 3:40 PM	Rm 306 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 11-10 - Introduction to Financial Accounting (-)	Accounting	11	10	Open	24/25	Michael Calegari	4	M W F | 9:15 AM - 10:20 AM	Rm 218 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
