Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 5-1 - Personal Financial Planning	Accounting	5	1	Open	25/28	Wendy Donohoe	4	M W F | 9:15 AM - 10:20 AM	Rm 102 Kenna Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 11-1 - Introduction to Financial Accounting (-)	Accounting	11	1	Open	19/28	Ke Li | Kevin Li	4	T Th | 8:30 AM - 10:10 AM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 11A-1 - Introduction to Financial Accounting	Accounting	11A	1	Waitlist	29/28	Ke Li | Kevin Li	4	T Th | 10:20 AM - 12:00 PM	Rm 206 Lucas Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 12-1 - Introduction to Managerial Accounting (-)	Accounting	12	1	Open	25/28	Stephen Carter	4	M W F | 9:15 AM - 10:20 AM	Rm 102 Alameda hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 12-2 - Introduction to Managerial Accounting (-)	Accounting	12	2	Open	26/28	Stephen Carter	4	M W F | 10:30 AM - 11:35 AM	Rm 102 Alameda hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 12-3 - Introduction to Managerial Accounting (-)	Accounting	12	3	Waitlist	28/28	Stephen Carter	4	M W F | 1:00 PM - 2:05 PM	Rm 120 Alumni Science Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 12-4 - Introduction to Managerial Accounting (-)	Accounting	12	4	Waitlist	28/28	Danny Wallace	4	M W F | 1:00 PM - 2:05 PM	Rm 307 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 12-5 - Introduction to Managerial Accounting (-)	Accounting	12	5	Waitlist	28/28	Danny Wallace	4	M W F | 2:15 PM - 3:20 PM	Rm 307 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 120-1 - Accounting Data Analysis and Visualization	Accounting	120	1	Waitlist	33/20	Haoning Richter	5	M W | 3:30 PM - 5:15 PM	Rm 102 Kenna Hall	Pathways :: The Digital Age	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 120-2 - Accounting Data Analysis and Visualization	Accounting	120	2	Waitlist	29/20	Haoning Richter	5	M W | 5:25 PM - 7:10 PM	Rm 102 Kenna Hall	Pathways :: The Digital Age	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 131-1 - Intermediate Financial Accounting II	Accounting	131	1	Waitlist	32/26	Ke Li | Kevin Li	5	T Th | 12:10 PM - 1:50 PM	Rm 208 Lucas Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 132-1 - Advanced Financial Accounting	Accounting	132	1	Waitlist	36/26	Matthew Cedergren	5	M W | 3:30 PM - 5:15 PM	Rm 104 Kenna Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 132-2 - Advanced Financial Accounting	Accounting	132	2	Open	17/26	Matthew Cedergren	5	M W | 5:25 PM - 7:10 PM	Rm 104 Kenna Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 135-1 - Auditing	Accounting	135	1	Waitlist	32/26	Susan Parker	5	T Th | 8:30 AM - 10:10 AM	Rm 208 Lucas Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 135-2 - Auditing	Accounting	135	2	Waitlist	39/26	Susan Parker	5	T Th | 10:20 AM - 12:00 PM	Rm 208 Lucas Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 138-1 - Tax Planning and Business Decisions	Accounting	138	1	Waitlist	31/28	Don Rath	5	T Th | 8:30 AM - 10:10 AM	Rm 207 Lucas Hall		Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 144-1 - Accounting Ethics	Accounting	144	1	Open	21/22	Susan Parker	5	T Th | 2:00 PM - 3:40 PM	Rm 207 Lucas Hall	Pathways :: Applied Ethics	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
ACTG 144-2 - Accounting Ethics	Accounting	144	2	Open	19/22	Susan Parker	5	T Th | 3:50 PM - 5:30 PM	Rm 210 Lucas Hall	Pathways :: Applied Ethics	Lecture	In-Person	4/2/2024	6/9/2024	Spring 2024 Quarter	
