Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 11-01 - Intro to Financial Accounting (-)	Accounting	11	1	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 11-02 - Intro to Financial Accounting (-)	Accounting	11	2	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 11-03 - Intro to Financial Accounting (-)	Accounting	11	3	Open	19/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 11-04 - Intro to Financial Accounting (-)	Accounting	11	4	Open	26/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 11-05 - Intro to Financial Accounting (-)	Accounting	11	5	Open	20/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 11A-01 - Intro to Financial Accounting	Accounting	11A	1	Open	23/30		4				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-01 - Intro to Managerial Accounting (-)	Accounting	12	1	Open	0/0		1.5 - 4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-02 - Intro to Managerial Accounting (-)	Accounting	12	2	Open	7/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-03 - Intro to Managerial Accounting (-)	Accounting	12	3	Open	28/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-04 - Intro to Managerial Accounting (-)	Accounting	12	4	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-05 - Intro to Managerial Accounting (-)	Accounting	12	5	Open	28/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-06 - Intro to Managerial Accounting (-)	Accounting	12	6	Open	23/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-07 - Intro to Managerial Accounting (-)	Accounting	12	7	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-08 - Intro to Managerial Accounting (-)	Accounting	12	8	Open	26/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-09 - Intro to Managerial Accounting (-)	Accounting	12	9	Open	28/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-10 - Intro to Managerial Accounting (-)	Accounting	12	10	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-11 - Intro to Managerial Accounting (-)	Accounting	12	11	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-12 - Intro to Managerial Accounting (-)	Accounting	12	12	Open	26/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-13 - Intro to Managerial Accounting (-)	Accounting	12	13	Open	17/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-14 - Intro to Managerial Accounting (-)	Accounting	12	14	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 12-15 - Intro to Managerial Accounting (-)	Accounting	12	15	Open	27/27		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 130-01 - Intermediate Financial Actg I (-)	Accounting	130	1	Open	22/27		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 131-01 - Intermediate Financial Actg II	Accounting	131	1	Open	29/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 131-02 - Intermediate Financial Actg II	Accounting	131	2	Open	23/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 134-01 - Accounting Information Systems	Accounting	134	1	Open	33/25		5			Core Explorations :: Science, Technology and Society  LSB Core :: Undergraduate Business Core  Pathways :: The Digital Age  Pathways :: Values in Science and Technology	Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 136-01 - Cost Accounting (-)	Accounting	136	1	Open	28/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 136-02 - Cost Accounting (-)	Accounting	136	2	Open	26/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 138-01 - Tax Planning & Busn Decisions	Accounting	138	1	Open	25/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 138-02 - Tax Planning & Busn Decisions	Accounting	138	2	Open	31/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 140-01 - Not for Profit Accounting	Accounting	140	1	Open	11/25		3				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 151-01 - Financial Statement Analysis (-)	Accounting	151	1	Open	19/25		5				Lecture	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
ACTG 162-01 - Jr Contemporary Busn Sem II	Accounting	162	1	Open	26/45		2				Seminar	In-Person	1/9/2023	3/17/2023	Winter 2023 Quarter	
